station,sign,frontiere_bas,frontiere_haut
32604,15,"['[01001]', '[01100]', '[10001]', '[10010]', '[00101]', '[00110]', '[01010]', '[00011]', '[10100]', '[11000]']",['[11111]']
32605,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
35008,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
40008,15,"['[00100]', '[00010]', '[10000]', '[01000]']","['[01101]', '[11001]', '[11100]', '[11010]', '[01011]', '[10101]', '[01110]', '[10011]', '[10110]']"
40014,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[11001]', '[11100]', '[11010]', '[01011]', '[10101]', '[10011]', '[10110]']"
41202,15,"['[01001]', '[01100]', '[10001]', '[10010]', '[00101]', '[00110]', '[01010]', '[00011]', '[10100]', '[11000]']",['[11111]']
41405,15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[00110]', '[00101]', '[01001]', '[10001]', '[10010]', '[01010]']"
42010,15,"['[01011]', '[01110]', '[10011]', '[01101]', '[11010]', '[10101]', '[00111]', '[11001]', '[10110]', '[11100]']",['[11111]']
42027,15,"['[00100]', '[00010]', '[00001]', '[10000]']",['[11111]']
42707,15,"['[00010]', '[00001]', '[10000]']",['[11111]']
43006,15,"['[00010]', '[00001]', '[10000]']",['[11111]']
43403,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
44007,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
44013,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[01101]', '[00111]', '[01011]', '[10101]', '[10011]']"
45004,15,"['[00100]', '[01000]', '[10000]', '[00010]']","['[00110]', '[00011]', '[00101]', '[01001]', '[10100]', '[11000]', '[01100]', '[10001]', '[10010]', '[01010]']"
46001,15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[01000]', '[10100]', '[10001]', '[10010]']"
46002,15,"['[00100]', '[00010]', '[10000]', '[01000]']","['[11110]', '[00111]', '[11101]', '[11011]']"
47001,15,"['[00100]', '[00010]', '[10000]', '[01000]']","['[01101]', '[11001]', '[11010]', '[00111]', '[01011]', '[10101]', '[01110]', '[10011]', '[10110]']"
48001,15,"['[00100]', '[00010]', '[00001]', '[01000]']",['[11111]']
48002,15,"['[01001]', '[01100]', '[10001]', '[10010]', '[00101]', '[00110]', '[01010]', '[00011]', '[10100]', '[11000]']",['[11111]']
48003,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[01111]', '[10111]']"
48008,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
48010,15,"['[00100]', '[01000]', '[10000]', '[00010]']","['[11010]', '[10100]']"
51001,15,"['[00100]', '[01000]', '[10000]', '[00010]']","['[01110]', '[00011]', '[00101]', '[01001]', '[10110]', '[11000]', '[10001]']"
51003,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[01101]', '[01011]', '[10101]', '[01110]', '[10011]', '[10110]']"
51005,15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[00110]', '[00011]', '[00101]', '[01001]', '[10100]', '[01100]', '[10001]', '[10010]', '[01010]']"
1001,-15,"['[01000]', '[00001]', '[10000]', '[00010]']",['[11011]']
1006,-15,"['[00100]', '[00001]', '[10000]', '[01000]']",['[11111]']
1016,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
1017,-15,"['[01000]', '[00001]', '[10000]', '[00010]']",['[11011]']
1018,-15,"['[00100]', '[01000]', '[00001]', '[00010]']",['[01111]']
1026,-15,"['[01001]', '[01100]', '[10001]', '[10010]', '[00101]', '[00110]', '[01010]', '[00011]', '[10100]', '[11000]']",['[11111]']
1102,-15,"['[00100]', '[00010]', '[00001]', '[10000]']",['[11111]']
2001,-15,"['[00100]', '[00001]', '[10000]', '[01000]']",['[11111]']
2002,-15,"['[00100]', '[10010]', '[00001]', '[01000]']",['[11111]']
2016,-15,"['[01001]', '[01100]', '[10001]', '[10010]', '[00101]', '[00110]', '[01010]', '[00011]', '[10100]', '[11000]']",['[11111]']
2017,-15,"['[01001]', '[01100]', '[10001]', '[10010]', '[00101]', '[00110]', '[01010]', '[00011]', '[10100]', '[11000]']",['[11111]']
2101,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[11101]', '[11011]']"
3001,-15,"['[00010]', '[00101]', '[10000]', '[01000]']",['[11111]']
3002,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
3005,-15,"['[01100]', '[01011]', '[00110]', '[10011]', '[10100]', '[11000]']",['[11111]']
3006,-15,"['[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
3012,-15,"['[01001]', '[01100]', '[10001]', '[10010]', '[00101]', '[00110]', '[01010]', '[00011]', '[10100]', '[11000]']",['[11111]']
4003,-15,"['[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
4006,-15,"['[10100]', '[11000]', '[10001]']",['[11111]']
4007,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
4011,-15,"['[00100]', '[00010]', '[00001]', '[01000]']",['[11111]']
4012,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
4013,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
4015,-15,"['[01001]', '[01100]', '[10001]', '[10010]', '[00101]', '[00110]', '[01010]', '[00011]', '[10100]', '[11000]']",['[11111]']
4016,-15,"['[01111]', '[11011]', '[11101]', '[11110]', '[10111]']",['[11111]']
4018,-15,"['[01001]', '[01100]', '[10001]', '[10010]', '[00101]', '[00110]', '[01010]', '[00011]', '[10100]', '[11000]']",['[11111]']
4101,-15,"['[00100]', '[10000]', '[01000]']",['[11111]']
4110,-15,"['[01101]', '[10101]', '[11001]', '[11100]']",['[11111]']
5018,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
5019,-15,"['[00100]', '[10010]', '[00001]', '[01000]']",['[11111]']
5107,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
5115,-15,"['[01001]', '[01100]', '[10001]', '[00101]', '[00110]', '[01010]', '[10100]', '[11000]']",['[11111]']
5116,-15,"['[01001]', '[10001]', '[10010]', '[00111]', '[01110]', '[11000]']",['[11111]']
5121,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
6013,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
6016,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
6025,-15,"['[11010]', '[10011]', '[01110]', '[01101]', '[10101]', '[11001]', '[10110]', '[11100]']",['[11111]']
6026,-15,"['[01111]', '[11011]', '[11101]', '[11110]', '[10111]']",['[11111]']
7007,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
7013,-15,"['[01101]', '[10001]', '[10010]', '[01110]', '[00011]', '[10100]', '[11000]']",['[11111]']
7015,-15,"['[01011]', '[10011]', '[11010]', '[01101]', '[10101]', '[11001]', '[11100]']",['[11111]']
7016,-15,"['[01001]', '[01100]', '[10001]', '[00010]', '[00101]', '[10100]', '[11000]']",['[11111]']
7023,-15,"['[01011]', '[11010]', '[10101]', '[00111]', '[11001]', '[10110]', '[01100]']",['[11111]']
7102,-15,"['[01011]', '[01110]', '[10011]', '[01101]', '[11010]', '[10101]', '[00111]', '[10110]', '[11100]']",['[11111]']
7111,-15,"['[01000]', '[00001]', '[10000]', '[00010]']","['[01001]', '[10001]', '[10010]', '[01010]']"
7203,-15,"['[00110]', '[01101]', '[10101]', '[11001]', '[10010]', '[01010]', '[11100]']","['[11101]', '[11110]']"
8007,-15,"['[01000]', '[00001]', '[10000]', '[00010]']",['[11011]']
8008,-15,"['[01001]', '[01100]', '[10001]', '[10010]', '[00101]', '[00110]', '[01010]', '[00011]', '[10100]', '[11000]']",['[11111]']
8009,-15,"['[11001]', '[11100]', '[11010]', '[00101]', '[00110]', '[00011]']",['[11111]']
8017,-15,['[01111]'],['[11111]']
8038,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
8045,-15,"['[00100]', '[00010]', '[10000]', '[01000]']",['[11111]']
9013,-15,"['[00100]', '[01000]', '[00001]', '[00010]']",['[01111]']
9101,-15,"['[00100]', '[01000]', '[00001]', '[00010]']",['[01111]']
10005,-15,"['[01001]', '[01100]', '[10001]', '[10010]', '[00110]', '[01010]', '[00011]', '[10100]', '[11000]']",['[11111]']
10042,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
10105,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
11002,-15,"['[00100]', '[10000]', '[01000]']","['[01111]', '[10111]']"
11004,-15,"['[01100]', '[00010]', '[00001]', '[10000]']",['[11111]']
11033,-15,['[11010]'],['[11111]']
11037,-15,"['[00100]', '[00010]', '[10000]', '[01000]']",['[11111]']
11038,-15,"['[00100]', '[01001]', '[10001]', '[10010]', '[01010]', '[00011]', '[11000]']",['[11111]']
11047,-15,"['[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
11114,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
12001,-15,"['[00100]', '[00010]', '[10000]', '[01000]']",['[11111]']
12008,-15,"['[01111]', '[11011]', '[11101]', '[11110]', '[10111]']",['[11111]']
12009,-15,"['[00100]', '[10000]']",['[11111]']
12031,-15,"['[01011]', '[01110]', '[10011]', '[01101]', '[11010]', '[10101]', '[00111]', '[11001]', '[10110]', '[11100]']",['[11111]']
12125,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[01111]', '[11011]', '[10111]']"
12164,-15,"['[00100]', '[00011]', '[01000]', '[10000]']","['[00011]', '[00101]', '[01001]', '[10001]']"
12165,-15,"['[01011]', '[01110]', '[10011]', '[01101]', '[11010]', '[10101]', '[00111]', '[11001]', '[10110]', '[11100]']",['[11111]']
12166,-15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[00011]', '[00101]', '[01001]', '[10001]']"
12204,-15,['[11010]'],['[11111]']
13015,-15,"['[00100]', '[00001]', '[10000]', '[01010]']",['[11111]']
13047,-15,['[11110]'],['[11111]']
13104,-15,"['[00100]', '[00010]', '[10000]', '[01000]']",['[11111]']
13118,-15,"['[11110]', '[11101]']",['[11111]']
13128,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
15029,-15,"['[10001]', '[00010]', '[00101]', '[01000]', '[10100]']",['[11111]']
15030,-15,"['[11010]', '[01110]', '[10101]', '[00111]', '[11001]', '[10110]', '[11100]']",['[11111]']
15031,-15,['[11101]'],['[11111]']
15059,-15,"['[11010]', '[10011]', '[01111]', '[10110]', '[11101]']",['[11111]']
15060,-15,"['[00100]', '[00001]', '[10000]', '[01000]']",['[11111]']
15064,-15,"['[11010]', '[11001]']",['[11111]']
15070,-15,"['[01001]', '[01100]', '[10001]', '[00010]', '[00101]', '[10100]', '[11000]']",['[11111]']
15106,-15,"['[00100]', '[01000]', '[10000]', '[00010]']","['[01011]', '[10111]']"
15107,-15,"['[00100]', '[01000]', '[00001]', '[00010]']",['[01111]']
15120,-15,"['[00100]', '[01000]', '[00001]', '[00010]']","['[01011]', '[01101]']"
15127,-15,['[11111]'],['[11111]']
15204,-15,"['[01000]', '[00001]', '[10000]', '[00010]']","['[11010]', '[11001]']"
16003,-15,"['[00100]', '[01000]', '[00001]', '[00010]']","['[00110]', '[00101]', '[01001]', '[01100]', '[01010]']"
16025,-15,"['[01100]', '[10001]', '[10010]', '[00111]', '[01010]', '[10100]', '[11000]']",['[11111]']
16029,-15,"['[10011]', '[01110]', '[01101]', '[10100]', '[11000]']","['[01111]', '[11011]', '[11101]', '[10111]']"
16121,-15,"['[00100]', '[10001]', '[10010]', '[01000]', '[00011]']",['[11111]']
16122,-15,"['[11011]', '[11101]', '[11110]', '[10111]']",['[11111]']
17028,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[00111]', '[11011]']"
21006,-15,"['[01101]', '[11000]', '[10001]']",['[11111]']
21022,-15,"['[00001]', '[10000]', '[01000]']",['[11111]']
21023,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[11110]', '[11101]', '[11011]']"
21029,-15,"['[01000]', '[10000]', '[00010]']",['[11011]']
21032,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[11010]', '[11101]']"
21110,-15,"['[01001]', '[01100]', '[10000]']","['[01111]', '[11011]', '[10111]']"
21314,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
21323,-15,"['[00100]', '[01001]', '[10001]', '[10010]', '[01010]', '[00011]', '[11000]']","['[11101]', '[11011]']"
21511,-15,"['[00100]', '[10000]', '[01000]', '[00011]']","['[01101]', '[11001]', '[11100]', '[11010]', '[00111]', '[01011]', '[10101]', '[01110]', '[10011]', '[10110]']"
22001,-15,"['[00100]', '[11000]', '[00010]']","['[11010]', '[11100]']"
22016,-15,"['[00110]', '[00011]', '[00101]', '[01000]', '[10000]']","['[01011]', '[10011]', '[00111]']"
22018,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
22304,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[11110]', '[11101]', '[10011]']"
23011,-15,"['[00100]', '[00001]', '[10000]']","['[11101]', '[11011]']"
23101,-15,"['[00110]', '[01001]', '[01100]', '[01010]', '[10000]']","['[00110]', '[01001]', '[01100]', '[10001]', '[10010]', '[01010]']"
23301,-15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[00100]', '[00001]', '[11000]', '[00010]']"
25004,-15,"['[00100]', '[01000]', '[10000]', '[00010]']","['[00100]', '[01000]', '[10000]', '[00010]']"
26010,-15,"['[01000]', '[10010]']",['[11110]']
27002,-15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[11010]', '[11001]', '[11100]']"
30002,-15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[00110]', '[00011]', '[00101]', '[01001]', '[11000]', '[10001]', '[10010]', '[01010]']"
30003,-15,"['[00100]', '[01000]', '[10000]']","['[00110]', '[01001]', '[00101]', '[10100]', '[11000]', '[01100]', '[10001]', '[10010]', '[01010]']"
31103,-15,"['[00110]', '[01001]', '[01100]', '[01010]', '[10000]']","['[01011]', '[01101]', '[00111]', '[10001]', '[10010]']"
31104,-15,"['[00110]', '[00101]', '[01000]', '[10000]']","['[00110]', '[00101]', '[01001]', '[10100]', '[01100]', '[10001]', '[10010]', '[01010]']"
32018,-15,"['[01000]', '[00001]', '[10000]', '[00010]']","['[00110]', '[00101]', '[01001]', '[10100]', '[01100]', '[10001]', '[10010]', '[01010]']"
32026,-15,"['[00100]', '[01000]', '[00001]', '[00010]']","['[11010]', '[10101]', '[11001]', '[10110]']"
34012,-15,"['[00100]', '[00001]', '[10000]', '[01000]']","['[01111]', '[10111]']"
35015,-15,"['[00100]', '[00010]', '[00001]', '[10000]']","['[11110]', '[11101]']"
40013,-15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[00011]', '[00101]', '[01001]', '[11000]', '[10001]']"
41304,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[11110]', '[11101]', '[11011]']"
43101,-15,"['[00100]', '[10001]', '[10010]', '[01010]']","['[10100]', '[01100]', '[10001]', '[10010]', '[01010]']"
43103,-15,"['[00100]', '[01000]', '[10000]', '[00010]']","['[00100]', '[01000]', '[10000]', '[00010]']"
44016,-15,"['[00100]', '[01000]', '[10000]', '[00010]']","['[00110]', '[00101]', '[01001]', '[10100]', '[11000]', '[01100]', '[10001]', '[10010]', '[01010]']"
44101,-15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[00001]', '[10100]', '[11000]', '[01100]', '[00010]']"
47008,-15,"['[00100]', '[00001]', '[10000]', '[00010]']","['[11010]', '[11001]', '[11100]']"
51002,-15,"['[01000]', '[10000]']","['[01000]', '[10000]']"
