Date,Station,Regulation
2026-02-16 00:00:00,14023,+15
2026-02-16 00:00:00,15120,-15
2026-02-16 00:00:00,16027,+15
2026-02-16 00:00:00,15028,-15
2026-02-16 00:00:00,16112,+15
2026-02-16 00:00:00,7015,-15
2026-02-16 00:00:00,15114,+15
2026-02-16 00:00:00,6025,-15
2026-02-16 00:00:00,14027,+15
2026-02-16 00:00:00,6031,-15
2026-02-16 00:00:00,14012,+15
2026-02-16 00:00:00,5034,-15
2026-02-16 00:00:00,14113,+15
2026-02-16 00:00:00,6015,-15
2026-02-16 00:00:00,14005,+15
2026-02-16 00:00:00,4019,-15
2026-02-16 00:00:00,20202,+15
2026-02-16 00:00:00,18032,+15
2026-02-16 00:00:00,21107,-15
2026-02-16 00:00:00,17017,+15
2026-02-16 00:00:00,23009,-15
2026-02-16 00:00:00,17027,+15
2026-02-16 00:00:00,23011,-15
2026-02-16 00:00:00,17022,+15
2026-02-16 00:00:00,23003,-15
2026-02-16 00:00:00,17125,+15
2026-02-16 00:00:00,24007,-15
2026-02-16 00:00:00,17005,+15
2026-02-16 00:00:00,17127,-15
2026-02-16 00:00:00,18046,+15
2026-02-16 00:00:00,8016,-15
2026-02-16 00:00:00,9005,+15
2026-02-16 00:00:00,10005,-15
2026-02-16 00:00:00,18023,+15
2026-02-16 00:00:00,20104,+15
2026-02-16 00:00:00,31016,+15
2026-02-16 00:00:00,41304,-15
2026-02-16 00:00:00,41202,+15
2026-02-16 00:00:00,12165,-15
2026-02-16 00:00:00,20004,+15
2026-02-16 00:00:00,12008,-15
2026-02-16 00:00:00,20007,+15
2026-02-16 00:00:00,11101,-15
2026-02-16 00:00:00,20039,+15
2026-02-16 00:00:00,1102,-15
2026-02-16 00:00:00,19039,+15
2026-02-16 00:00:00,10014,-15
2026-02-16 00:00:00,20113,+15
2026-02-16 00:00:00,4015,-15
2026-02-16 00:00:00,11017,+15
2026-02-16 00:00:00,4101,-15
2026-02-16 00:00:00,31708,+15
2026-02-16 00:00:00,48005,+15
2026-02-16 00:00:00,43101,-15
2026-02-16 00:00:00,40014,+15
2026-02-17 00:00:00,14020,+15
2026-02-17 00:00:00,1001,-15
2026-02-17 00:00:00,20007,+15
2026-02-17 00:00:00,11048,-15
2026-02-17 00:00:00,20044,+15
2026-02-17 00:00:00,6014,-15
2026-02-17 00:00:00,14133,+15
2026-02-17 00:00:00,5034,-15
2026-02-17 00:00:00,42707,+15
2026-02-17 00:00:00,13118,-15
2026-02-17 00:00:00,42027,+15
2026-02-17 00:00:00,13121,-15
2026-02-17 00:00:00,47005,+15
2026-02-17 00:00:00,12165,-15
2026-02-17 00:00:00,12163,+15
2026-02-17 00:00:00,12164,-15
2026-02-17 00:00:00,43403,+15
2026-02-17 00:00:00,14026,+15
2026-02-17 00:00:00,5027,-15
2026-02-17 00:00:00,13017,+15
2026-02-17 00:00:00,4006,-15
2026-02-17 00:00:00,12107,+15
2026-02-17 00:00:00,12002,-15
2026-02-17 00:00:00,20131,+15
2026-02-17 00:00:00,11002,-15
2026-02-17 00:00:00,20110,+15
2026-02-17 00:00:00,4010,-15
2026-02-17 00:00:00,20039,+15
2026-02-17 00:00:00,2001,-15
2026-02-17 00:00:00,20104,+15
2026-02-17 00:00:00,1006,-15
2026-02-17 00:00:00,12017,+15
2026-02-17 00:00:00,12204,-15
2026-02-17 00:00:00,20204,+15
2026-02-17 00:00:00,12005,-15
2026-02-17 00:00:00,20047,+15
2026-02-17 00:00:00,2003,-15
2026-02-17 00:00:00,19024,+15
2026-02-17 00:00:00,6021,-15
2026-02-17 00:00:00,14122,+15
2026-02-17 00:00:00,15022,-15
2026-02-17 00:00:00,15014,+15
2026-02-17 00:00:00,15031,-15
2026-02-17 00:00:00,21207,+15
2026-02-17 00:00:00,6026,-15
2026-02-17 00:00:00,14030,+15
2026-02-17 00:00:00,15103,-15
2026-02-17 00:00:00,15044,+15
2026-02-17 00:00:00,21027,-15
2026-02-17 00:00:00,21017,+15
2026-02-17 00:00:00,21032,-15
2026-02-17 00:00:00,23105,+15
2026-02-17 00:00:00,23101,-15
2026-02-17 00:00:00,21953,+15
2026-02-17 00:00:00,21029,-15
2026-02-17 00:00:00,21328,+15
2026-02-17 00:00:00,20205,+15
2026-02-17 00:00:00,4003,-15
2026-02-17 00:00:00,19046,+15
2026-02-17 00:00:00,32001,-15
2026-02-17 00:00:00,18139,+15
2026-02-17 00:00:00,2101,-15
2026-02-17 00:00:00,10026,+15
2026-02-17 00:00:00,10005,-15
2026-02-17 00:00:00,9005,+15
2026-02-17 00:00:00,9022,-15
2026-02-17 00:00:00,18134,+15
2026-02-17 00:00:00,34011,-15
2026-02-17 00:00:00,18026,+15
2026-02-17 00:00:00,17127,-15
2026-02-17 00:00:00,18046,+15
2026-02-17 00:00:00,7016,-15
2026-02-17 00:00:00,20035,+15
2026-02-17 00:00:00,1201,-15
2026-02-17 00:00:00,31705,+15
2026-02-17 00:00:00,32605,+15
2026-02-17 00:00:00,11004,-15
2026-02-17 00:00:00,20119,+15
2026-02-17 00:00:00,1120,-15
2026-02-17 00:00:00,5110,+15
2026-02-17 00:00:00,5123,-15
2026-02-17 00:00:00,13010,+15
2026-02-17 00:00:00,5116,-15
2026-02-17 00:00:00,21213,+15
2026-02-17 00:00:00,1017,-15
2026-02-17 00:00:00,8012,+15
2026-02-17 00:00:00,8017,-15
2026-02-17 00:00:00,17122,+15
2026-02-17 00:00:00,17028,-15
2026-02-17 00:00:00,17204,+15
2026-02-17 00:00:00,21107,-15
2026-02-17 00:00:00,18016,+15
2026-02-17 00:00:00,9101,-15
2026-02-17 00:00:00,18006,+15
2026-02-17 00:00:00,22019,-15
2026-02-18 00:00:00,19038,+15
2026-02-18 00:00:00,1017,-15
2026-02-18 00:00:00,8012,+15
2026-02-18 00:00:00,32018,-15
2026-02-18 00:00:00,18029,+15
2026-02-18 00:00:00,1015,-15
2026-02-18 00:00:00,9017,+15
2026-02-18 00:00:00,1013,-15
2026-02-18 00:00:00,10162,+15
2026-02-18 00:00:00,5019,-15
2026-02-18 00:00:00,20021,+15
2026-02-18 00:00:00,12204,-15
2026-02-18 00:00:00,20014,+15
2026-02-18 00:00:00,11004,-15
2026-02-18 00:00:00,12016,+15
2026-02-18 00:00:00,8029,-15
2026-02-18 00:00:00,14136,+15
2026-02-18 00:00:00,7013,-15
2026-02-18 00:00:00,14128,+15
2026-02-18 00:00:00,15022,-15
2026-02-18 00:00:00,20136,+15
2026-02-18 00:00:00,3001,-15
2026-02-18 00:00:00,20032,+15
2026-02-18 00:00:00,3002,-15
2026-02-18 00:00:00,20013,+15
2026-02-18 00:00:00,12008,-15
2026-02-18 00:00:00,20112,+15
2026-02-18 00:00:00,11037,-15
2026-02-18 00:00:00,18142,+15
2026-02-18 00:00:00,10105,-15
2026-02-18 00:00:00,18023,+15
2026-02-18 00:00:00,1116,-15
2026-02-18 00:00:00,9027,+15
2026-02-18 00:00:00,8017,-15
2026-02-18 00:00:00,17004,+15
2026-02-18 00:00:00,5115,-15
2026-02-18 00:00:00,14139,+15
2026-02-18 00:00:00,15062,-15
2026-02-18 00:00:00,23702,+15
2026-02-18 00:00:00,23101,-15
2026-02-18 00:00:00,21209,+15
2026-02-18 00:00:00,15031,-15
2026-02-18 00:00:00,20004,+15
2026-02-18 00:00:00,12106,-15
2026-02-18 00:00:00,12036,+15
2026-02-18 00:00:00,12031,-15
2026-02-18 00:00:00,12111,+15
2026-02-18 00:00:00,13121,-15
2026-02-18 00:00:00,12113,+15
2026-02-18 00:00:00,13118,-15
2026-02-18 00:00:00,42027,+15
2026-02-18 00:00:00,13047,-15
2026-02-18 00:00:00,14021,+15
2026-02-18 00:00:00,5121,-15
2026-02-18 00:00:00,14113,+15
2026-02-18 00:00:00,5123,-15
2026-02-18 00:00:00,18015,+15
2026-02-18 00:00:00,11001,-15
2026-02-18 00:00:00,6025,-15
2026-02-18 00:00:00,14036,+15
2026-02-18 00:00:00,7101,-15
2026-02-18 00:00:00,13017,+15
2026-02-18 00:00:00,5116,-15
2026-02-18 00:00:00,20047,+15
2026-02-18 00:00:00,2101,-15
2026-02-18 00:00:00,19105,+15
2026-02-18 00:00:00,4019,-15
2026-02-18 00:00:00,20024,+15
2026-02-18 00:00:00,12005,-15
2026-02-18 00:00:00,20020,+15
2026-02-18 00:00:00,2017,-15
2026-02-18 00:00:00,31022,+15
2026-02-18 00:00:00,12125,-15
2026-02-18 00:00:00,43006,+15
2026-02-18 00:00:00,4006,-15
2026-02-18 00:00:00,31009,+15
2026-02-18 00:00:00,31103,-15
2026-02-18 00:00:00,32306,+15
2026-02-18 00:00:00,21001,-15
2026-02-18 00:00:00,16129,+15
2026-02-18 00:00:00,22016,-15
2026-02-18 00:00:00,16018,+15
2026-02-18 00:00:00,16025,-15
2026-02-18 00:00:00,22604,+15
2026-02-18 00:00:00,21314,-15
2026-02-18 00:00:00,21326,+15
2026-02-18 00:00:00,15070,-15
2026-02-18 00:00:00,21205,+15
2026-02-18 00:00:00,6015,-15
2026-02-18 00:00:00,22401,+15
2026-02-18 00:00:00,21006,-15
2026-02-18 00:00:00,25010,+15
2026-02-18 00:00:00,21511,-15
2026-02-18 00:00:00,51001,+15
2026-02-18 00:00:00,22304,-15
2026-02-18 00:00:00,51005,+15
2026-02-18 00:00:00,26010,-15
2026-02-18 00:00:00,17005,+15
2026-02-19 00:00:00,8020,+15
2026-02-19 00:00:00,7005,-15
2026-02-19 00:00:00,13515,+15
2026-02-19 00:00:00,21308,-15
2026-02-19 00:00:00,16129,+15
2026-02-19 00:00:00,16030,-15
2026-02-19 00:00:00,16020,+15
2026-02-19 00:00:00,15060,-15
2026-02-19 00:00:00,21209,+15
2026-02-19 00:00:00,21310,-15
2026-02-19 00:00:00,16002,+15
2026-02-19 00:00:00,8046,-15
2026-02-19 00:00:00,17021,+15
2026-02-19 00:00:00,23009,-15
2026-02-19 00:00:00,17048,+15
2026-02-19 00:00:00,8031,-15
2026-02-19 00:00:00,17122,+15
2026-02-19 00:00:00,1026,-15
2026-02-19 00:00:00,10033,+15
2026-02-19 00:00:00,7101,-15
2026-02-19 00:00:00,14110,+15
2026-02-19 00:00:00,7006,-15
2026-02-19 00:00:00,15044,+15
2026-02-19 00:00:00,2016,-15
2026-02-19 00:00:00,14030,+15
2026-02-19 00:00:00,12001,-15
2026-02-19 00:00:00,13032,+15
2026-02-19 00:00:00,13015,-15
2026-02-19 00:00:00,43403,+15
2026-02-19 00:00:00,44101,-15
2026-02-19 00:00:00,12163,+15
2026-02-19 00:00:00,44001,-15
2026-02-19 00:00:00,47005,+15
2026-02-19 00:00:00,42004,-15
2026-02-19 00:00:00,42205,+15
2026-02-19 00:00:00,42014,-15
2026-02-19 00:00:00,13041,+15
2026-02-19 00:00:00,6031,-15
2026-02-19 00:00:00,21702,+15
2026-02-19 00:00:00,6003,-15
2026-02-19 00:00:00,18016,+15
2026-02-19 00:00:00,9022,-15
2026-02-19 00:00:00,33006,+15
2026-02-19 00:00:00,32023,-15
2026-02-19 00:00:00,32022,+15
2026-02-19 00:00:00,23903,-15
2026-02-19 00:00:00,18029,+15
2026-02-19 00:00:00,9102,-15
2026-02-19 00:00:00,17050,+15
2026-02-19 00:00:00,7024,-15
2026-02-19 00:00:00,18206,+15
2026-02-19 00:00:00,18138,-15
2026-02-19 00:00:00,18023,+15
2026-02-19 00:00:00,26010,-15
2026-02-19 00:00:00,18141,+15
2026-02-19 00:00:00,9101,-15
2026-02-19 00:00:00,9007,+15
2026-02-19 00:00:00,9015,-15
2026-02-19 00:00:00,18139,+15
2026-02-19 00:00:00,20008,+15
2026-02-19 00:00:00,8013,-15
2026-02-19 00:00:00,20001,+15
2026-02-19 00:00:00,12161,-15
2026-02-19 00:00:00,12115,+15
2026-02-19 00:00:00,12153,-15
2026-02-19 00:00:00,12111,+15
2026-02-19 00:00:00,3006,-15
2026-02-19 00:00:00,10164,+15
2026-02-19 00:00:00,6014,-15
2026-02-19 00:00:00,18142,+15
2026-02-19 00:00:00,3008,-15
2026-02-19 00:00:00,11035,+15
2026-02-19 00:00:00,2002,-15
2026-02-19 00:00:00,31013,+15
2026-02-19 00:00:00,1201,-15
2026-02-19 00:00:00,18113,+15
2026-02-19 00:00:00,9014,-15
2026-02-19 00:00:00,19130,+15
2026-02-19 00:00:00,6032,-15
2026-02-19 00:00:00,14003,+15
2026-02-19 00:00:00,15129,-15
2026-02-19 00:00:00,14008,+15
2026-02-19 00:00:00,15008,-15
2026-02-19 00:00:00,15011,+15
2026-02-19 00:00:00,15106,-15
2026-02-19 00:00:00,16031,+15
2026-02-19 00:00:00,15072,-15
2026-02-19 00:00:00,21215,+15
2026-02-19 00:00:00,21323,-15
2026-02-19 00:00:00,21952,+15
2026-02-19 00:00:00,21029,-15
2026-02-19 00:00:00,23105,+15
2026-02-19 00:00:00,21027,-15
2026-02-19 00:00:00,21326,+15
2026-02-19 00:00:00,6013,-15
2026-02-19 00:00:00,18112,+15
2026-02-19 00:00:00,34012,-15
2026-02-19 00:00:00,17003,+15
